model,seq_length,features,feature_count,scaler,test_size,val_split,training_time,rmse,mae,r2,mape,units,dropout_rate,optimizer,batch_size,epochs,n_estimators,max_depth
Random Forest,30,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,0.4067115783691406,26524.725819212377,25486.59082105332,-11.851375298610877,0.2684876984449602,,,,,,100.0,20.0
Random Forest,20,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,0.2559800148010254,26609.877857399344,25579.91607318823,-12.074206758168614,0.2696456387455208,,,,,,100.0,20.0
Random Forest,30,Close_Volume,2,RobustScaler,0.2,0.2,0.21410131454467773,26674.480408414875,25629.02479921198,-11.996898785459608,0.26998809088857,,,,,,100.0,20.0
Random Forest,20,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,0.25268054008483887,26694.120008529237,25660.536426425446,-12.15711903043867,0.2704941165763527,,,,,,100.0,20.0
Random Forest,10,Close,1,RobustScaler,0.2,0.2,0.14438796043395996,26765.628630736577,25742.536009792464,-12.334969272849877,0.2715704560992309,,,,,,100.0,20.0
Random Forest,20,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,0.25774383544921875,26770.267252577538,25738.306298484084,-12.232289691618139,0.27132884555113657,,,,,,100.0,20.0
Random Forest,30,Close_Volume,2,StandardScaler,0.2,0.2,0.23490095138549805,26772.06480430381,25725.104425998226,-12.092166953766611,0.27100692205131843,,,,,,100.0,20.0
Random Forest,30,Close_Volume,2,MinMaxScaler,0.2,0.2,0.24920368194580078,26778.755012244623,25731.08211947654,-12.098711108207286,0.2710689272945744,,,,,,100.0,20.0
Random Forest,20,Close_Volume,2,RobustScaler,0.2,0.2,0.16135168075561523,26785.02048948435,25732.199879473148,-12.246878481183959,0.2711978530861125,,,,,,100.0,20.0
Random Forest,20,Close_Volume,2,MinMaxScaler,0.2,0.2,0.16910839080810547,26805.378229895607,25755.635673891746,-12.267022501325586,0.27145819160899143,,,,,,100.0,20.0
Random Forest,30,Close,1,RobustScaler,0.2,0.2,0.1666872501373291,26820.963145197184,25781.139476056625,-12.140035497833415,0.27162203994473044,,,,,,100.0,20.0
Random Forest,10,Close,1,MinMaxScaler,0.2,0.2,0.1480257511138916,26822.459881916937,25801.620847032053,-12.391657464990375,0.2722084860304642,,,,,,100.0,20.0
Random Forest,20,Close_Volume,2,StandardScaler,0.2,0.2,0.1831798553466797,26833.70402151398,25783.180249269637,-12.295076384299751,0.2717493538798289,,,,,,100.0,20.0
Random Forest,30,Close,1,StandardScaler,0.2,0.2,0.2026369571685791,26848.912097202938,25810.123165190962,-12.167435078317242,0.2719346107923951,,,,,,100.0,20.0
Random Forest,10,Close,1,StandardScaler,0.2,0.2,0.14151740074157715,26859.780194360883,25840.431667890043,-12.428949237348263,0.27262763288501335,,,,,,100.0,20.0
Random Forest,30,Close,1,MinMaxScaler,0.2,0.2,0.15035152435302734,26941.49479923633,25906.47788074899,-12.258401786836872,0.27297434349699434,,,,,,100.0,20.0
Random Forest,20,Close,1,StandardScaler,0.2,0.2,0.1633296012878418,27233.127069824386,26220.25889303188,-12.693819891296705,0.2765313301102621,,,,,,100.0,20.0
Random Forest,20,Close,1,RobustScaler,0.2,0.2,0.1513049602508545,27280.89643883303,26269.730367951677,-12.741902423186993,0.2770648204729648,,,,,,100.0,20.0
Random Forest,20,Close,1,MinMaxScaler,0.2,0.2,0.1531076431274414,27335.510315354066,26326.424171776765,-12.796977576509914,0.2776767026465539,,,,,,100.0,20.0
